,title,year,authors,abstract
98,Centrosome development in early mouse embryos as defined by an autoantibody against pericentriolar material,1983,Patricia D Calarco-Gillam and Margaret C Siebert and Richard Hubble and Tim Mitchison and Marc Kirschner,"A human autoantibody from a schleroderma patient was found to immunostain interphase and mitotic centrosomes in a variety of vertebrate cells. Electron microscopic immunocytochemistry localized this antigen in dense pericentriolar material (PCM) surrounding the centrioles. The meiotic spindle of the mouse egg has no centriole but it exhibited a broad PCM band at each pole. This pattern was also found from the first through fourth mitotic divisions. During this time PCM was found assembled at a single locus in the cell and exclusively in mitotic cells; it was not observable in interphase cells. In the blastocyst, only polar trophoblast cells had characteristic centrosomes throughout the cell cycle. Results suggest PCM can exist, disperse, and reorganize during the cell cycle independently of the centriole, and its distribution in the embryo differs in cells having different fates."
99,Autonomous regulation of the anaphase-promoting complex couples mitosis to S-phase entry,2004,Michael Rape and Marc W Kirschner,"Oscillations in cyclin-dependent kinase (CDK) activity drive the somatic cell cycle. After entry into mitosis, CDKs activate the anaphase-promoting complex (APC), which then promotes cyclin degradation and mitotic exit. The re-accumulation of cyclin A causes the inactivation of APC and entry into S phase, but how cyclin A can accumulate in the presence of active APC has remained unclear. Here we show that, during G1, APC autonomously switches to a state permissive for cyclin A accumulation. Crucial to this transition is the APC Cdh1-dependent autoubiquitination and proteasomal degradation of the ubiquitin-conjugating enzyme (E2) UbcH10. Because APC substrates inhibit the autoubiquitination of UbcH10, but not its E2 function, APC activity is maintained as long as G1 substrates are present. Thus, through UbcH10 degradation and cyclin A stabilization, APC autonomously downregulates its activity. This …"
100,The events of the midblastula transition in Xenopus are regulated by changes in the cell cycle,1987,David Kimelman and Marc Kirschner and Talma Scherson,"The midblastula transition (MBT) in Xenopus can be initiated prematurely by blocking the fundamental cell-cycle oscillator with cycloheximide, in which case motility and transcription are quickly initiated. Using various inhibitors of specific events of the cell cycle that do not inhibit the autonomous oscillator, we have shown that transcription is activated when DNA synthesis is interrupted and motility is activated when cell cleavage is inhibited. Furthermore, very low levels of transcription are found to occur before the MBT. These results demonstrate that the pre-MBT egg is fully competent for transcription and motility and suggest that different features of the rapid early cell cycle normally suppress these events."
101,Dorsoventral patterning in hemichordates: insights into early chordate evolution,2006,Christopher J Lowe and Mark Terasaki and Michael Wu and Robert M Freeman Jr and Linda Runft and Kristen Kwan and Saori Haigo and Jochanan Aronowicz and Eric Lander and Chris Gruber and Mark Smith and Marc Kirschner and John Gerhart,"We have compared the dorsoventral development of hemichordates and chordates to deduce the organization of their common ancestor, and hence to identify the evolutionary modifications of the chordate body axis after the lineages split. In the hemichordate embryo, genes encoding bone morphogenetic proteins (Bmp) 2/4 and 5/8, as well as several genes for modulators of Bmp activity, are expressed in a thin stripe of ectoderm on one midline, historically called “dorsal.” On the opposite midline, the genes encoding Chordin and Anti-dorsalizing morphogenetic protein (Admp) are expressed. Thus, we find a Bmp-Chordin developmental axis preceding and underlying the anatomical dorsoventral axis of hemichordates, adding to the evidence from Drosophila and chordates that this axis may be at least as ancient as the first bilateral animals. Numerous genes encoding transcription factors and signaling ligands are expressed in the three germ layers of hemichordate embryos in distinct dorsoventral domains, such as pox neuro, pituitary homeobox, distalless, and tbx2/3 on the Bmp side and netrin, mnx, mox, and single-minded on the Chordin-Admp side. When we expose the embryo to excess Bmp protein, or when we deplete endogenous Bmp by small interfering RNA injections, these expression domains expand or contract, reflecting their activation or repression by Bmp, and the embryos develop as dorsalized or ventralized limit forms. Dorsoventral patterning is independent of anterior/posterior patterning, as in Drosophila but not chordates. Unlike both chordates and Drosophila, neural gene expression in hemichordates is not repressed by …"
102,Erk/Src phosphorylation of cortactin acts as a switch on-switch off mechanism that controls its ability to activate N-WASP,2004,Narcisa Martinez-Quiles and Hsin-Yi Henry Ho and Marc W Kirschner and Narayanaswamy Ramesh and Raif S Geha,"The Arp2/3 complex can be independently activated to initiate actin polymerization by the VCA domain of WASP family members and by the acidic N-terminal and F-actin-binding repeat region of cortactin, which possesses a C-terminal SH3 domain. Cortactin is a target for phosphorylation by Src tyrosine kinases and by serine/threonine kinases that include Erk. Here we demonstrate that cortactin binds N-WASP and WASP via its SH3 domain, induces in vitro N-WASP-mediated actin polymerization, and colocalizes with N-WASP and WASP at sites of active actin polymerization. Erk phosphorylation and a mimicking S405,418D double mutation enhanced cortactin binding and activation of N-WASP. In contrast, Src phosphorylation inhibited the ability of cortactin previously phosphorylated by Erk, and that of S405,418D double mutant cortactin, to bind and activate N-WASP. Furthermore, Y→D mutation of three tyrosine …"
103,"LIS1 regulates CNS lamination by interacting with mNudE, a central component of the centrosome",2000,Yuanyi Feng and Eric C Olson and P Todd Stukenberg and Lisa A Flanagan and Marc W Kirschner and Christopher A Walsh,"LIS1, a microtubule-associated protein, is required for neuronal migration, but the precise mechanism of LIS1 function is unknown. We identified a LIS1 interacting protein encoded by a mouse homolog of NUDE, a nuclear distribution gene in A. nidulans and a multicopy suppressor of the LIS1 homolog, NUDF. mNudE is located in the centrosome or microtubule organizing center (MTOC), and interacts with six different centrosomal proteins. Overexpression of mNudE dissociates γ-tubulin from the centrosome and disrupts microtubule organization. Missense mutations that disrupt LIS1 function block LIS1-mNudE binding. Moreover, misexpression of the LIS1 binding domain of mNudE in Xenopus embryos disrupts the architecture and lamination of the CNS. Thus, LIS1-mNudE interactions may regulate neuronal migration through dynamic reorganization of the MTOC."
104,Microtubule assembly and nucleation,1978,Marc W Kirschner,"This chapter presents recent studies on in vitro assembly, nucleation, and growth of microtubules along with the properties that shed light on their biological role. The biochemical study of structural proteins such as tubulin and actin is a new area. It has received a considerable amount of attention recently which, it is hoped, reflects progress. Despite the fact that actin is in general the most common cellular protein and that so much was known about it from studies of muscle, not until recently has its role in nonmuscle cells been appreciated. Tubulin, perhaps the second most common intracellular protein, was not described until the 1960s. Functional studies of tubulin assembly were not performed until 1972. The means of regulation and the principles of self-assembly are also presented in the chapter. It discusses the experiments that (1) emanated from the discovery of conditions for assembly of …"
105,The processivity of multiubiquitination by the APC determines the order of substrate degradation,2006,Michael Rape and Sashank K Reddy and Marc W Kirschner,"The anaphase-promoting complex (APC) coordinates mitosis and G1 by sequentially promoting the degradation of key cell-cycle regulators. Following the degradation of its substrates in G1, the APC catalyzes the autoubiquitination of its E2 UbcH10. This stabilizes cyclin A and allows it to inactivate APCCdh1. How the APC establishes this complex temporal sequence of ubiquitinations, referred to as substrate ordering, is not understood. Here we show that substrate ordering depends on the relative processivity of substrate multiubiquitination by the APC. Processive substrates obtain ubiquitin chains in a single APC binding event. The multiubiquitination of distributive substrates requires multiple rounds of APC binding, which render it sensitive to lower APC concentrations, competition by processive substrates, and deubiquitination. Consequently, more processive substrates are preferentially multiubiquitinated in …"
106,Identification of a cullin homology region in a subunit of the anaphase-promoting complex,1998,Hongtao Yu and Jan-Michael Peters and Randall W King and Andrew M Page and Philip Hieter and Marc W Kirschner,"The anaphase-promoting complex is composed of eight protein subunits, including BimE (APC1), CDC27 (APC3), CDC16 (APC6), and CDC23 (APC8). The remaining four human APC subunits, APC2, APC4, APC5, and APC7, as well as human CDC23, were cloned. APC7 contains multiple copies of the tetratrico peptide repeat, similar to CDC16, CDC23, and CDC27. Whereas APC4 and APC5 share no similarity to proteins of known function, APC2 contains a region that is similar to a sequence in cullins, a family of proteins implicated in the ubiquitination of G1 phase cyclins and cyclin-dependent kinase inhibitors. The APC2 gene is essential in Saccharomyces cerevisiae, and apc2 mutants arrest at metaphase and are defective in the degradation of Pds1p. APC2 and cullins may be distantly related members of a ubiquitin ligase family that targets cell cycle regulators for degradation."
107,"Evidence that fold-change, and not absolute level, of β-catenin dictates Wnt signaling",2009,Lea Goentoro and Marc W Kirschner,"In response to Wnt stimulation, β-catenin accumulates and activates target genes. Using modeling and experimental analysis, we found that the level of β-catenin is sensitive to perturbations in the pathway, such that cellular variation would be expected to alter the signaling outcome. One unusual parameter was robust: the fold-change in β-catenin level (post-Wnt/pre-Wnt). In Xenopus, dorsal-anterior development and target gene expression are robust to perturbations that alter the final level but leave the fold-change intact. These suggest, first, that despite cellular noise, the cell responds reliably to Wnt stimulation by maintaining a robust fold-change in β-catenin. Second, the transcriptional machinery downstream of the Wnt pathway does not simply read the β-catenin level after Wnt stimulation but computes fold-changes in β-catenin. Analogous to Weber's Law in sensory physiology, some gene transcription …"
108,Properties of the kinetochore in vitro. II. Microtubule capture and ATP-dependent translocation.,1985,TJ Mitchison and MW Kirschner,"We have studied the interaction of preformed microtubules (MTs) with the kinetochores of isolated chromosomes. This reaction, which we call MT capture, results in MTs becoming tightly bound to the kinetochore, with their ends capped against depolymerization. These observations, combined with MT dynamic instability, suggest a model for spindle morphogenesis. In addition, ATP appears to mobilize dynamic processes at captured MT ends. We used biotin-labeled MT seeds to follow assembly dynamics at the kinetochore. In the presence of ATP and unlabeled tubulin, labeled MT segments translocate away from the kinetochore by polymerization of subunits at the attached end. We have termed this reaction proximal assembly. Further studies demonstrated that translocation could be uncoupled from MT assembly. We suggest that the kinetochore contains an ATPase activity that walks along the MT lattice toward …"
109,Mitotic inactivation of a human SWI/SNF chromatin remodeling complex,1998,Saïd Sif and P Todd Stukenberg and Marc W Kirschner and Robert E Kingston,"During mitosis, chromatin is condensed into mitotic chromosomes and transcription is inhibited, processes that might be opposed by the chromatin remodeling activity of the SWI/SNF complexes. Brg1 and hBrm, which are components of human SWI/SNF (hSWI/SNF) complexes, were recently shown to be phosphorylated during mitosis. This suggested that phosphorylation might be used as a switch to modulate SWI/SNF activity. Using an epitope-tag strategy, we have purified hSWI/SNF complexes at different stages of the cell cycle, and found that hSWI/SNF was inactive in cells blocked in G2–M. Mitotic hSWI/SNF contained Brg1 but not hBrm, and was phosphorylated on at least two subunits, hSWI3 and Brg1. In vitro, active hSWI/SNF from asynchronous cells can be phosphorylated and inactivated by ERK1, and reactivated by dephosphorylation. hSWI/SNF isolated as cells traversed mitosis regained activity when …"
110,Induction of early mitotic events in a cell-free system,1985,Ryn Miake-Lye and Marc W Kirschner,"Maturation promoting factor (MPF) has been shown to induce meiosis or mitosis when injected into Xenopus oocytes and embryos. We show here that early events of mitosis, chromatin condensation and nuclear envelope breakdown, are induced by MPF in somatic interphase nuclei incubated in a cell-free extract of Xenopus eggs. These events occur rapidly and synchronously in response to MPF and are reversed when MPF activity is diminished. Using this cell-free system, we show that major structural proteins of the nuclear lamina, lamins A and C, are hyperphosphorylated within 15 min after addition of MPF, followed by a gradual depolymerization of the nuclear lamina until the nuclear envelope breaks down 30 min later. These results show that MPF induces mitotic events in vitro, and that phosphorylation of the lamins precedes disassembly of the nuclear lamina and could act to trigger nuclear envelope …"
111,Cell-cycle-regulated activation of Akt kinase by phosphorylation at its carboxyl terminus,2014,Pengda Liu and Michael Begley and Wojciech Michowski and Hiroyuki Inuzuka and Miriam Ginzberg and Daming Gao and Peiling Tsou and Wenjian Gan and Antonella Papa and Byeong Mo Kim and Lixin Wan and Amrik Singh and Bo Zhai and Min Yuan and Zhiwei Wang and Steven P Gygi and Tae Ho Lee and Kun-Ping Lu and Alex Toker and Pier Paolo Pandolfi and John M Asara and Marc W Kirschner and Piotr Sicinski and Lewis Cantley and Wenyi Wei,"Akt, also known as protein kinase B, plays key roles in cell proliferation, survival and metabolism. Akt hyperactivation contributes to many pathophysiological conditions, including human cancers 1, 2, 3, and is closely associated with poor prognosis and chemo-or radiotherapeutic resistance 4. Phosphorylation of Akt at S473 (ref. 5) and T308 (ref. 6) activates Akt. However, it remains unclear whether further mechanisms account for full Akt activation, and whether Akt hyperactivation is linked to misregulated cell cycle progression, another cancer hallmark 7. Here we report that Akt activity fluctuates across the cell cycle, mirroring cyclin A expression. Mechanistically, phosphorylation of S477 and T479 at the Akt extreme carboxy terminus by cyclin-dependent kinase 2 (Cdk2)/cyclin A or mTORC2, under distinct physiological conditions, promotes Akt activation through facilitating, or functionally compensating for, S473 …"
112,The dynamics of gene expression in vertebrate embryogenesis at single-cell resolution,2018,James A Briggs and Caleb Weinreb and Daniel E Wagner and Sean Megason and Leonid Peshkin and Marc W Kirschner and Allon M Klein,"Metazoan development represents a big jump in complexity compared with unicellular life in two aspects: cell-type differentiation and cell spatial organization. In vertebrate embryos, many distinct cell types appear within just a single day of life after fertilization. Studying the developmental dynamics of all embryonic cell types is complicated by factors such as the speed of early development, complex cellular spatial organization, and scarcity of raw material for conventional analysis. Genetics and experimental embryology have clarified major transcription factors and secreted signaling molecules involved in the specification of early lineages. However, development involves parallel alterations in many cellular circuits, not just a few well-described factors.We recently developed a microfluidics-based single-cell RNA sequencing method capable of efficiently profiling tens of thousands of …"
113,Spontaneous formation of nucleus-like structures around bacteriophage DNA microinjected into Xenopus eggs,1983,Douglass J Forbes and Marc W Kirschner and John W Newport,"We have found that injection of bacteriophage λ DNA into unfertilized Xenopus eggs causes the assembly around the DNA of structures resembling typical eucaryotic cell nuclei. These spherical structures begin to form 60–90 min after injection. They contain X DNA and are bounded by a phase-dense envelope. Immunofluorescent staining of the λ-DNA-containing structures with anti-lamin antibody reveals the presence of the lamin nuclear proteins at the periphery of the structure, a pattern identical to that of embryonic nuclei. Electron microscopy reveals that the injected DNA is surrounded by a double bilayer nuclear membrane containing nuclear pore complexes. The “nuclei” containing λ DNA respond to modulators of the Xenopus cell cycle in a manner that mimics the response of embryonic nuclei to these modulators during mitosis. These results suggest that nuclear reassembly and breakdown occur …"
114,Bioenergetics and kinetics of microtubule and actin filament assembly–disassembly,1982,Terrell L Hill and Marc W Kirschner,"This chapter discusses the bioenergetics and kinetics of microtubule and actin filament assembly–disassembly. The chapter focuses on an important property of actin filaments and microtubules: their utilization of the free energy of adenosine triphosphate (ATP) or guanosine triphosphate (GTP) hydrolysis. To interpret the function of nucleoside triphosphate hydrolysis, a number of other properties are considered that include the structural and kinetic polarity of the filaments; their interaction at the ends with specific components; and the action of forces on the filaments. The important boundary conditions, such as forces acting in various ways on the filaments and the effect of materials that interact at the ends of filaments, are discussed in the chapter. The chapter also focuses on the biological implications of these properties in terms of capacity to do work, regulate length, and regulate spatial …"
115,"Geminin, a neuralizing molecule that demarcates the future neural plate at the onset of gastrulation",1998,Kristen L Kroll and Adrian N Salic and Louise M Evans and Marc W Kirschner,"In an expression cloning screen in Xenopus embryos, we identified a gene that when overexpressed expanded the neural plate at the expense of adjacent neural crest and epidermis. This gene, which we named geminin, had no sequence similarity to known gene families. We later discovered that geminin9s neuralizing domain was part of a bifunctional protein whose C-terminal coiled-coil domain may play a role in regulating DNA replication. We report here on the neuralizing function of geminin. The localization, effect of misexpression and activity of a dominant negative geminin suggest that the product of this gene has an essential early role in specifying neural cell fate in vertebrates. Maternal geminin mRNA is found throughout the animal hemisphere from oocyte through late blastula. At the early gastrula, however, expression is restricted to a dorsal ectodermal territory that prefigures the neural plate …"
116,Influence of the centrosome on the structure of nucleated microtubules.,1985,Louise Evans and Tim Mitchison and Marc Kirschner,"The capacity of the centrosome to influence the lattice structure of nucleated microtubules was studied in vitro. Brain microtubules self-assembled to give predominantly (98%) 14-protofilament microtubules. However, under exactly the same conditions of assembly they grew off of purified centrosomes from neuroblastoma cells to give mostly (82%) 13-protofilament microtubules. Thus, the nucleation sites on the centrosome constrained the microtubule lattice to yield the number of protofilaments usually found in vivo."
117,Substrate recognition by the Cdc20 and Cdh1 components of the anaphase-promoting complex,2001,Cathie M Pfleger and Ethan Lee and Marc W Kirschner,"The specificity of ubiquitin-mediated protein degradation with regards to the selection of substrates to be polyubiquitinated has only been determined rather recently. Substrate targeting by the N-end rule and HECT (homology to E6AP carboxylterminus) domain ubiquitin ligases occurs through substrate-specific binding domains. In contrast, the SCF complex recruits substrates through a substrate adaptor protein, the F-box subunit. Despite evidence showing that Cdc20 and Cdh1 bind and activate the anaphase-promoting complex (APC) in a substrate-specific manner, there is no evidence that the activating protein and substrate interact directly; hence, no clear model exists for the mechanism of APC activation or recruitment of substrates. We show here that the activators Cdc20 and Cdh1 can associate with substrates via their N termini. In the absence of APC, Cdc20 and Cdh1 bind substrates reflecting Cdc20–APC …"
118,Dynamic and stable populations of microtubules in cells.,1987,Eric Schulze and Marc Kirschner,"Using a new immunocytochemical technique, we have visualized the spatial arrangement of those microtubules in cells that are stable to biotin-tubulin incorporation after microinjection. Cells fixed at various periods of time after injection were exposed to antibody to biotinylated tubulin and several layers of secondary antibodies; these layers prevented reaction of biotin-containing microtubules with antitubulin antibodies. The microtubules that had not incorporated biotin-tubulin could then be stained with anti-tubulin and a fluorescent secondary antibody. In BSC1 cells, most microtubules in the cell exchange with a half-time of 10 min. A separate population of microtubules can be detected, using the above techniques, that are stable to exchange for 1 h or more; these have a characteristic pericentrosomal spatial arrangement as compared to the majority of dynamic microtubules. Unlike the dynamic microtubules, most …"
119,Molecular “vitalism”,2000,Marc Kirschner and John Gerhart and Tim Mitchison,"In the early nineteenth century, views on the nature of living organisms were broadly divided into two categories, chemical and vitalist. The former held that life was a consequence of complex, but ultimately knowable physicochemical processes, while the latter posited some nonnatural, perhaps unknowable, properties of living systems. Vitalism was progressively undermined by Wohler's synthesis of urea (1828) and by Pasteur's inability to demonstrate spontaneous generation (1862), as well as by Darwin's Origin of Species (1859) and Virchow's cell theory (1855). By the turn of the twentieth century the remarkable properties of living systems were more evident than ever, but vitalism was no longer invoked to explain them. The modern scientific quest for the chemical basis of life had begun in earnest. Although heredity was known as an important property of living organisms, investigations of the chemical basis of …"
120,A polymer-dependent increase in phosphorylation of beta-tubulin accompanies differentiation of a mouse neuroblastoma cell line.,1985,David L Gard and Marc W Kirschner,"We have examined the phosphorylation of cellular microtubule proteins during differentiation and neurite outgrowth in N115 mouse neuroblastoma cells. N115 differentiation, induced by serum withdrawal, is accompanied by a fourfold increase in phosphorylation of a 54,000-mol-wt protein identified as a specific isoform of beta-tubulin by SDS PAGE, two-dimensional isoelectric focusing/SDS PAGE, and immunoprecipitation with a specific monoclonal antiserum. Isoelectric focusing/SDS PAGE of [35S]methionine-labeled cell extracts revealed that the phosphorylated isoform of beta-tubulin, termed beta 2, is one of three isoforms detected in differentiated N115 cells, and is diminished in amounts in the undifferentiated cells. Taxol, a drug which promotes microtubule assembly, stimulates phosphorylation of beta-tubulin in both differentiated and undifferentiated N115 cells. In contrast, treatment of differentiated cells …"
121,Ubiquitination of the G1 cyclin Cln2p by a Cdc34p‐dependent pathway.,1995,Raymond J Deshaies and Vincent Chau and Marc Kirschner,"Recombinant G1 cyclin Cln2p can bind to and stimulate the protein kinase activity of p34CDC28 (Cdc28p) in an extract derived from cyclin‐depleted and G1‐arrested Saccharomyces cerevisiae cells. Upon activating Cdc28p, Cln2p is extensively phosphorylated and conjugated with multiubiquitin chains. Ubiquitination of Cln2p in vitro requires the Cdc34p ubiquitin‐conjugating enzyme, Cdc28p, protein phosphorylation and unidentified factors in yeast extract. Ubiquitination of Cln2p by Cdc34p contributes to the instability of Cln2p in vivo, as the rate of Cln2p degradation is reduced in cdc34ts cells. These results provide a molecular framework for G1 cyclin instability and suggest that a multicomponent, regulated pathway specifies the selective ubiquitination of G1 cyclins."
122,Systematic identification of mitotic phosphoproteins,1997,P Todd Stukenberg and Kevin D Lustig and Thomas J McGarry and Randall W King and Jian Kuang and Marc W Kirschner,"Background: Cyclin-dependent kinases (CDKs) are thought to initiate and coordinate cell division processes by sequentially phosphorylating key targets; in most cases these substrates remain unidentified.Results: Using a screen that scores for phosphorylation of proteins, which were translated from pools of cDNA plasmids in vitro, by either phosphoepitope antibody recognition or electrophoretic mobility shifts, we have identified 20 mitotically phosphorylated proteins from Xenopus embryos, 15 of which have sequence similarity to other proteins. Of these proteins, five have previously been shown to be phosphorylated during mitosis (epithelial-microtubule associated protein-115, Oct91, Elongation factor 1γ, BRG1 and Ribosomal protein L18A), five are related to proteins postulated to have roles in mitosis (epithelial-microtubule associated protein-115, Schizosaccharomyces pombe Cdc5, innercentrosome protein …"
123,Implications of treadmilling for the stability and polarity of actin and tubulin polymers in vivo.,1980,Marc W Kirschner,"In this report, we examine how the cell can selectively stabilize anchored filaments and suppress spontaneous filament assembly. Because microtubules and actin filaments have an organized distribution in cells, the cell must have a mechanism for suppressing spontaneous and random polymerization. Though the mechanism for suppressing spontaneous polymerization is unknown, an unusual property of these filaments has been demonstrated recently, i.e., under steady-stae conditions, in vitro actin filaments and microtubules can exhibit a flux of subunits through the polymers called ""treadmilling."" In vivo, however, most, if not all, of these polymers are attached at one end to specific structures and treadmilling should not occur. The function of treadmilling in vivo is, therefore, unclear at present. However, as shown here, the same physicochemical property of coupling assembly to ATP or GTP hydrolysis that leads …"
125,"INH, a negative regulator of MPF, is a form of protein phosphatase 2A",1991,Tina H Lee and Mark J Solomon and Marc C Mumby and Marc W Kirschner,"MPF, a protein kinase complex consisting of cyclin and p34cdc2 subunits, promotes the G2 to M phase transition in eukaryotic cells. The pathway of activation and inactivation of MPF is not well understood, although there is strong evidence that removal of phosphate from a tyrosine residue on p34cdc2 is part of the activation process. INH was originally identified as an activity that could inhibit the posttranslational activation of a latent form of MPF, called pre-MPF, in immature (G2 phase-arrested) Xenopus oocytes. We have purified INH and demonstrated that it is a form of protein phosphatase 2A. Both INH and the catalytic subunit of protein phosphatase 2A can directly inactivate an isolated p34cdc2-cyclin complex. Both cyclin and p34cdc2 become dephosphorylated; the rate of inactivation closely parallels the removal of phosphate from a specific site on p34cdc2. We propose that INH opposes MPF activation by …"
126,Early events in DNA replication require cyclin E and are blocked by p21CIP1.,1995,Peter K Jackson and Stephane Chevalier and Michel Philippe and Marc W Kirschner,"Using immunodepletion of cyclin E and the inhibitor protein p21WAF/CIP1, we demonstrate that the cyclin E protein, in association with Cdk2, is required for the elongation phase of replication on single-stranded substrates. Although cyclin E/Cdk2 is likely to be the major target by which p21 inhibits the initiation of sperm DNA replication, p21 can inhibit single-stranded replication through a mechanism dependent on PCNA. While the cyclin E/Cdk2 complex appears to have a role in the initiation of DNA replication, another Cdk kinase, possibly cyclin A/Cdk, may be involved in a later step controlling the switch from initiation to elongation. The provision of a large maternal pool of cyclin E protein shows that regulators of replication are constitutively present, which explains the lack of a protein synthesis requirement for replication in the early embryonic cell cycle."
128,Identification of a new uracil-DNA glycosylase family by expression cloning using synthetic inhibitors,1999,Karl A Haushalter and P Todd Stukenberg and Marc W Kirschner and Gregory L Verdine,"Background: The cellular environment exposes DNA to a wide variety of endogenous and exogenous reactive species that can damage DNA, thereby leading to genetic mutations. DNA glycosylases protect the integrity of the genome by catalyzing the first step in the base excision–repair of lesions in DNA.Results: Here, we report a strategy to conduct genome-wide screening for expressed DNA glycosylases, based on their ability to bind to a library of four synthetic inhibitors that target the enzyme's active site. These inhibitors, used in conjunction with the in vitro expression cloning procedure, led to the identification of novel Xenopus and human proteins, xSMUG1 and hSMUG1, respectively, that efficiently excise uracil residues from DNA. Despite a lack of statistically significant overall sequence similarity to the two established classes of uracil-DNA glycosylases, the SMUG1 enzymes contain motifs that are …"
129,Cdc42 is required for PIP2-induced actin polymerization and early development but not for cell viability,2000,F Chen and L Ma and MC Parrini and X Mao and M Lopez and C Wu and PW Marks and L Davidson and DJ Kwiatkowski and T Kirchhausen and SH Orkin and FS Rosen and BJ Mayer and MW Kirschner and FW Alt,"Background: Cdc42 and other Rho GTPases are conserved from yeast to humans and are thought to regulate multiple cellular functions by inducing coordinated changes in actin reorganization and by activating signaling pathways leading to specific gene expression. Direct evidence implicating upstream signals and components that regulate Cdc42 activity or for required roles of Cdc42 in activation of downstream protein kinase signaling cascades is minimal, however. Also, whereas genetic analyses have shown that Cdc42 is essential for cell viability in yeast, its potential roles in the growth and development of mammalian cells have not been directly assessed.Results: To elucidate potential functions of Cdc42 mammalian cells, we used gene-targeted mutation to inactivate Cdc42 in mouse embryonic stem (ES) cells and in the mouse germline. Surprisingly, Cdc42-deficient ES cells exhibited normal proliferation …"
130,A noncanonical Frizzled2 pathway regulates epithelial-mesenchymal transition and metastasis,2014,Taranjit S Gujral and Marina Chan and Leonid Peshkin and Peter K Sorger and Marc W Kirschner and Gavin MacBeath,"Wnt signaling plays a critical role in embryonic development, and genetic aberrations in this network have been broadly implicated in colorectal cancer. We find that the Wnt receptor Frizzled2 (Fzd2) and its ligands Wnt5a/b are elevated in metastatic liver, lung, colon, and breast cancer cell lines and in high-grade tumors and that their expression correlates with markers of epithelial-mesenchymal transition (EMT). Pharmacologic and genetic perturbations reveal that Fzd2 drives EMT and cell migration through a previously unrecognized, noncanonical pathway that includes Fyn and Stat3. A gene signature regulated by this pathway predicts metastasis and overall survival in patients. We have developed an antibody to Fzd2 that reduces cell migration and invasion and inhibits tumor growth and metastasis in xenografts. We propose that targeting this pathway could provide benefit for patients with tumors expressing …"
131,Purification and architecture of the ubiquitous Wave complex,2004,Alexis Gautreau and H Ho Hsin-yi and Jiaxu Li and Hanno Steen and Steven P Gygi and Marc W Kirschner,"The Wave proteins are major activators of the Arp2/3 complex. The ubiquitous Wave-2 is required for actin polymerization at the leading edge of migrating cells. Here we purify Wave-2 from HeLa cells. Five proteins, Sra, Nap, Wave-2, Abi, and Hspc, are copurified, indicating that they form a tight complex. These proteins are only present in the complexed form, with the exception of Hspc, which displays a free pool. We reconstitute the Wave-2 complex by cotranslating in vitro the five subunits and use this system together with specific immunoprecipitations to study the molecular architecture of the complex. The complex is organized around a core of Nap and Abi. Sra is a peripheral subunit recruited on the Nap side, whereas the Wave and Hspc subunits are recruited on the Abi side of the core."
132,"Interconversion of metaphase and interphase microtubule arrays, as studied by the injection of centrosomes and nuclei into Xenopus eggs.",1984,Eric Karsenti and John Newport and Richard Hubble and Marc Kirschner,"We have designed experiments that distinguish centrosomal , nuclear, and cytoplasmic contributions to the assembly of the mitotic spindle. Mammalian centrosomes acting as microtubule-organizing centers were assayed by injection into Xenopus eggs either in a metaphase or an interphase state. Injection of partially purified centrosomes into interphase eggs induced the formation of extensive asters. Although centrosomes injected into unactivated eggs (metaphase) did not form asters, inhibition of centrosomes is not irreversible in metaphase cytoplasm: subsequent activation caused aster formation. When cytoskeletons containing nuclei and centrosomes were injected into the metaphase cytoplasm, they produced spindle-like structures with clearly defined poles. Electron microscopy revealed centrioles with nucleated microtubules. However, injection of nuclei prepared from karyoplasts that were devoid of …"
133,Stable isotope-free relative and absolute quantitation of protein phosphorylation stoichiometry by MS,2005,Hanno Steen and Judith A Jebanathirajah and Michael Springer and Marc W Kirschner,"Qualitative and quantitative information are crucial to a detailed understanding of the function of protein phosphorylation. MS is now becoming a quantitative approach to analyze protein phosphorylation. All methods that have been described either require the elaborate/expensive use of stable isotopes to compare a limited number of samples or do not provide phosphorylation stoichiometries. Here, we present stable isotope-free MS strategies that allow relative and absolute quantitation of phosphorylation stoichiometries. By using the developed methods, we can normalize to robustly account for run-to-run variations and variations in amounts of starting material. This procedure monitors the unmodified proteolytic peptides derived from the protein of interest and identifies peptides that are suitable for normalization purposes. Also, we can determine changes in phosphorylation stoichiometry by monitoring the …"
134,The Arp2/3 complex mediates actin polymerization induced by the small GTP-binding protein Cdc42,1998,LE Ma and Rajat Rohatgi and Marc W Kirschner,"The small GTP-binding protein Cdc42 is thought to induce filopodium formation by regulating actin polymerization at the cell cortex. Although several Cdc42-binding proteins have been identified and some of them have been implicated in filopodium formation, the precise role of Cdc42 in modulating actin polymerization has not been defined. To understand the biochemical pathways that link Cdc42 to the actin cytoskeleton, we have reconstituted Cdc42-induced actin polymerization in Xenopus egg extracts. Using this cell-free system, we have developed a rapid and specific assay that has allowed us to fractionate the extract and isolate factors involved in this activity. We report here that at least two biochemically distinct components are required, based on their chromatographic behavior and affinity for Cdc42. One component is purified to homogeneity and is identified as the Arp2/3 complex, a protein complex that …"
